"paName","state","correctPaName","correctState","correctPaType","orderNumber","correctOrderNumber"
"MajathalWildlife Sanctuary","Himachal Pradesh","Majathal Wildlife Sanctuary","Himachal Pradesh",
"Bondla Mahaveer Wildlife Sanctuary","Goa","Bondla Wildlife Sanctuary","Goa",
"Eravikulam National Park + 4 PAs","Kerala","Eravikulam National Park, Chinnar Wildlife Sanctuary, Anamudi Shola National Park, Pampadum Shola National Park and Kurinjimala Sanctuary","Kerala",
"Valmiki Wildlife Sanctuary Valmiki National Park and Valmiki Tiger Reserve","Bihar","Valmiki Wildlife Sanctuary, Valmiki National Park and Valmiki Tiger Reserve","Bihar",
"Betla National Park Palamau Wildlife Sanctuary and Mahuadanr Wolf Sanctuary WLS","Jharkhand","Betla National Park, Palamau Wildlife Sanctuary and Mahuadanr Wolf Sanctuary","Jharkhand",
"Marine National and Marine Sanctuary","Gujarat","Marine National Park, Marine Sanctuary","Gujarat",
"Dachigham National Pak , Baltal Thajwas Sanctuary and Overa-Aru Sanctuary","Jammu and Kashmir","Dachigham National Park, Baltal Thajwas Sanctuary and Overa-Aru Sanctuary","Jammu and Kashmir",
"Badrama and Khalasuni","Odisha","Badrama Wildlife Sanctuary, Khalasuni Wildlife Sanctuary","Odisha",
"Pench National Park and the Mansingdeo","Maharashtra","Pench National Park, Mansinghdeo Wildlife Sanctuary","Maharashtra",
"Nagzira WildlifeSanctuary, New Nagzira Wildlife Sanctuary, Koka Wildlife Sanctuary, Navegaon Wildlife Sanctuary and Navegaon National Park","Maharashtra","Nagzira Wildlife Sanctuary, New Nagzira Wildlife Sanctuary, Koka Wildlife Sanctuary, Navegaon Wildlife Sanctuary and Navegaon National Park","Maharashtra",
"Kaimur WLS, Mirzapur-SonbhadraESZ Notification","Uttar Pradesh","Kaimur Wildlife Sanctuary","Uttar Pradesh","Wildlife Sanctuary"
"Tadoba Tiger Reserve and Andheri WLS ESZ Notification","Maharashtra","Tadoba-Andhari Tiger Reserve","Maharashtra","Tiger Reserve"
"Tadoba and Andhari Wildlife Sanctuary, Maharashtra","Maharashtra","Tadoba-Andhari Tiger Reserve","Maharashtra","Tiger Reserve"
"Malabar Wildlife Sanctuary, Kerala (Malayalam version) (Disclaimer: The contents of this publication are purely on the basis of submission made by the State Government of Kerala vide its letter No. D2/85/2021/FWLD, dated 04/02/2022. In case there are any discrepancy in this Malayalam version, the English version of the draft ESZ Notification published vide S.O.No.2634(E) dated 05.08.2020 (ESZ around Malabar Wildlife Sanctuary) shall prevail.)","Kerala","Malabar Wildlife Sanctuary","Kerala","Wildlife Sanctuary"
"Silent Valley National Park, Kerala (Malayalam version) (Disclaimer: The contents of this publication are purely on the basis of submission made by the State Government of Kerala vide its letter No. D2/85/2021/FWLD, dated 04/02/2022. In case there are any discrepancy in this Malayalam version, the English version of the draft ESZ Notification published vide S.O. No.3880(E) dated 27.10.2020 (ESZ around Silent Valley National Park) shall prevail.)","Kerala","Silent Valley National Park","Kerala","National Park"
"Mukundra hills Tiger Reserve Sanctuary,","Rajasthan","Mukundra Hills Tiger Reserve","Rajasthan","Tiger Reserve"
"Mukundra hills tiger reserve Sanctuary","Rajasthan","Mukundra Hills Tiger Reserve","Rajasthan","Tiger Reserve"
"Coringa Wildlife Santuary","Andhra Pradesh","Coringa Wildlife Sanctuary","Andhra Pradesh","Wildlife Sanctuary"
"Cuthbert Bay Wildlife","Andaman and Nicobar","Cuthbert Bay Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Cuthbert Bay Sanctuary","Andaman and Nicobar","Cuthbert Bay Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Arial Wildlife Sanctuary","Andaman and Nicobar","Arial Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Bamboo Wildlife Sanctuary","Andaman and Nicobar","Bamboo Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Barren Wildlife Sanctuary","Andaman and Nicobar","Barren Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Batti Malv Wildlife Sanctuary","Andaman and Nicobar","Battimalv Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Belle Wildlife Sanctuary","Andaman and Nicobar","Belle Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Bennette Wildlife Sanctuary","Andaman and Nicobar","Benett Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Bingham Wildlife Sanctuary","Andaman and Nicobar","Bingham Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Blister Wildlife Sanctuary","Andaman and Nicobar","Blister Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Bluff Wildlife Sanctuary","Andaman and Nicobar","Bluff Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Bondoville Wildlife Sanctuary","Andaman and Nicobar","Bondoville Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Brush Wildlife Sanctuary","Andaman and Nicobar","Brush Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Buchanan Wildlife Sanctuary","Andaman and Nicobar","Buchanan Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Channel Wildlife Sanctuary","Andaman and Nicobar","Chanel Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Cinque Island Wildlife Sanctuary","Andaman and Nicobar","Cinque Islands Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Clyde Wildlife Sanctuary","Andaman and Nicobar","Clyde Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Cone Wildlife Sanctuary","Andaman and Nicobar","Cone Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
"Curlew Bp Wildlife Sanctuary","Andaman and Nicobar","Curlew (B.P.) Island Wildlife Sanctuary","Andaman and Nicobar","Wildlife Sanctuary"
