osmType,osmId,osmUrl,name,nameEn,wikidata,wikipedia,boundary,protectClass,protectionTitle,operator,centroidLat,centroidLon,geometryType
relation,21133531,https://www.openstreetmap.org/relation/21133531,Asola-Bhatti WLS ESZ,,,,protected_area,6,Eco-Sensitive Zone,,28.462935766641735,77.2192547614587,ST_MultiPolygon
way,676591830,https://www.openstreetmap.org/way/676591830,Overa-Aru Wildlife Sanctuary,,Q101471239,en:Overa-Aru Wildlife Sanctuary,protected_area,4,,,34.11537970222867,75.25264123861584,ST_MultiPolygon
way,676562810,https://www.openstreetmap.org/way/676562810,Lachipora WLS,,,,protected_area,4,,,34.2063375289428,74.06186028629386,ST_MultiPolygon
relation,17946400,https://www.openstreetmap.org/relation/17946400,Hokersar WLS,,Q48724702,,protected_area,4,,,34.09367631398998,74.70976747866368,ST_MultiPolygon
relation,17007574,https://www.openstreetmap.org/relation/17007574,دیوسائی نیشنل پارک,Deosai National Park,Q2641970,en:Deosai National Park,national_park,2,,,34.99185150548967,75.44652152396858,ST_MultiPolygon
way,668472257,https://www.openstreetmap.org/way/668472257,Nandni WLS,,,,protected_area,4,,,32.85127442237924,74.95715032342213,ST_MultiPolygon
way,676600422,https://www.openstreetmap.org/way/676600422,Limber WLS,,Q111181101,en:Limber Wildlife Sanctuary,protected_area,4,,,34.191843965127056,74.16570566190171,ST_MultiPolygon
way,676588330,https://www.openstreetmap.org/way/676588330,Thajwas - Baltal Wildlife Sanctuary,,Q137254449,en:Baltal Thajwas Wildlife Sanctuary,protected_area,4,,,34.21342411979568,75.38127530326612,ST_MultiPolygon
relation,15875773,https://www.openstreetmap.org/relation/15875773,Hirapora WLS,,Q17055079,en:Hirpora Wildlife Sanctuary,protected_area,4,,,33.602609859601195,74.62570438525664,ST_MultiPolygon
way,666695328,https://www.openstreetmap.org/way/666695328,Inderkilla National Park,,Q31708488,en:Inderkilla National Park,national_park,2,,,32.26412668760995,77.30425543048358,ST_MultiPolygon
relation,13836969,https://www.openstreetmap.org/relation/13836969,دیوا وٹالہ نیشنل پارک,Deva Vatala National Park,,,national_park,2,,,32.90144650606076,74.37119338147797,ST_MultiPolygon
relation,9290782,https://www.openstreetmap.org/relation/9290782,Gamgul Siyabehi WLS,,Q5520164,,protected_area,4,,,32.87158810780112,75.88912818056471,ST_MultiPolygon
way,668495014,https://www.openstreetmap.org/way/668495014,Jasrota WLS,,,,protected_area,4,,,32.48535762044989,75.39707180107467,ST_MultiPolygon
way,126704884,https://www.openstreetmap.org/way/126704884,Dachigam National Park,,Q1156717,,national_park,2,,,34.129257344114244,75.02602089055021,ST_MultiPolygon
way,676580959,https://www.openstreetmap.org/way/676580959,Rajparian (Daksum) WLS,,Q17138383,en:Rajparian Wildlife Sanctuary,protected_area,4,,,33.65699714159202,75.46894744801124,ST_MultiPolygon
way,676577119,https://www.openstreetmap.org/way/676577119,Trikuta WLS,,,,protected_area,4,,,33.03559686848178,74.92483428616757,ST_MultiPolygon
way,668415720,https://www.openstreetmap.org/way/668415720,Ramnagar Rakha WLS,,,,protected_area,4,,,32.779482152375664,74.86475150582355,ST_MultiPolygon
way,668486755,https://www.openstreetmap.org/way/668486755,Surinsar Mansar WLS,,Q125881460,en:Mansar-Surinsar Lakes Wildlife Sanctuary,protected_area,4,,,32.7638093066886,75.07899384487796,ST_MultiPolygon
way,668020617,https://www.openstreetmap.org/way/668020617,Kalatop- Khajjiar WLS,,Q6351618,en:Kalatop Khajjiar Sanctuary,protected_area,4,,,32.544312916821035,76.03184808464778,ST_MultiPolygon
relation,9393690,https://www.openstreetmap.org/relation/9393690,Changthang Wildlife Sanctuary,Changthang Wildlife Sanctuary,Q26794303,en:Changthang Wildlife Sanctuary,protected_area,4,,,33.40250575357751,78.55779771343933,ST_MultiPolygon
relation,9307207,https://www.openstreetmap.org/relation/9307207,Kathlaur Kushlian WLS,,Q136955738,en:Kathlaur Kushlian Wildlife Sanctuary,protected_area,4,,,32.25276321636779,75.43981709587118,ST_MultiPolygon
relation,7255815,https://www.openstreetmap.org/relation/7255815,Maharana Pratap Sagar,Pong Dam Lake Wildlife Sanctuary,Q125881279,en:Pong Dam Lake Wildlife Sanctuary,protected_area,4,,,31.997218250610445,76.05431199536007,ST_MultiPolygon
way,668024889,https://www.openstreetmap.org/way/668024889,Tundah WLS,,,,protected_area,4,,,32.588581122327426,76.50850400178099,ST_MultiPolygon
way,114783253,https://www.openstreetmap.org/way/114783253,Hemis National Park,Hemis Naional Park,Q1604804,,national_park,2,,,33.70221760631798,77.38665343519632,ST_MultiPolygon
relation,4144891,https://www.openstreetmap.org/relation/4144891,Kibber WLS,,Q135404156,en:Kibber Wildlife Sanctuary,protected_area,4,,,32.53179125371607,78.22019539177127,ST_MultiPolygon
