moefSNo,state,protectedAreaName,protectedAreaType,notificationStatus,notificationDate,notificationSummary,notificationPdfLink,maps,notificationUploadDate,orderNumber,wikidataId,wikidataLabel,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,matchConfidence
1,Andhra Pradesh,Pulicat Bird Sanctuary,Bird Sanctuary,Draft,2014-01-03,"1. S.O. 22 [03.01.2014] Draft ESZ Notification on Pulicat Bird Sanctuary(1.26 MB), Andhra Pradesh-Tamil Nadu",https://moef.gov.in/uploads/2017/06/S.O.%2022%20%5B03.01.2014%5D%20Draft%20ESZ%20Notification%20on%20Pulicat%20Bird%20Sanctuary%2C%20Andhra%20Pradesh-Tamil%20Nadu.pdf,[],09/01/2014,S.O. 22,,,,,,,,,,,,,,,,,none
1,Andhra Pradesh,Pulicat Wildlife Sanctuary,Wildlife Sanctuary,Final,2015-06-26,"1. S.O. 1736 [26.06.2015] Final ESZ Notification on Pulicat Wildlife Sanctuary(11.84 MB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/S.O.%201736%20%5B26.06.2015%5D%20Final%20ESZ%20Notification%20on%20Pulicat%20Wildlife%20Sanctuary%2C%20Andhra%20Pradesh.pdf,[],29/07/2015,S.O. 1736,,,,,,,,,,,,,,,,,none
2,Andhra Pradesh,Great Indian Bustard Rollapadu Wildlife Sanctuary,Wildlife Sanctuary,Draft,2015-11-20,2. SO 3127(E)[20.11.2015] Draft notification declaring Eco-sensitive Zone around the Great Indian Bustard Rollapadu Wildlife Sanctuary(859.99 KB) in the state of Andhra Pradesh,https://moef.gov.in/uploads/2017/06/SO%203127(E)%5B20.11.2015%5D%20Draft%20notification%20declaring%20Eco-sensitive%20Zone%20around%20the%20Great%20Indian%20Bustard%20Rollapadu%20Wildlife%20Sanctuary%20%20Sanctuary%20%20in%20the%20state%20of%20Andhra%20Pradesh.pdf,[],14/01/2016,SO 3127(E),Q5599356,Great Indian Bustard Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Indian%20Bustard%20in%20newly%20opened%20area.jpg,IUCN category IV: Habitat/Species Management Area,Maharashtra,18.35,75.19388889,,,,,,Great Indian Bustard Sanctuary,,https://en.wikipedia.org/wiki/Great_Indian_Bustard_Sanctuary,fuzzy
2,Andhra Pradesh,Great Indian Bustard Rollapadu Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-05-15,"2. S.O. 1567 (E) [15.05.2017] Final Notification declaring Eco Sensitive Zone around Great Indian Bustard Rollapadu Wildlife Sanctuary(2.08 MB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/Great%20Indian%20Bustard%2C%20Rollapadu%20Wildlife%20Sanctuary%2C%20Andhra%20Pradesh.pdf,[],26/05/2017,S.O. 1567 (E),Q5599356,Great Indian Bustard Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Indian%20Bustard%20in%20newly%20opened%20area.jpg,IUCN category IV: Habitat/Species Management Area,Maharashtra,18.35,75.19388889,,,,,,Great Indian Bustard Sanctuary,,https://en.wikipedia.org/wiki/Great_Indian_Bustard_Sanctuary,fuzzy
3,Andhra Pradesh,Kambalkonda Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-01-07,3. SO 62(E)[07.01.2016] Draft notification declaring Eco-sensitive Zone around the Kambalkonda Wildlife Sanctuary(1.01 MB) in the state of Andhra pradesh,https://moef.gov.in/uploads/2017/06/SO%2062(E)%5B07.01.2016%5D%20Draft%20notification%20declaring%20Eco-sensitive%20Zone%20around%20the%20Kambalkonda%20Wildlife%20%20Sanctuary%20%20in%20the%20state%20of%20Andhra%20pradesh.pdf,[],18/01/2016,SO 62(E),,,,,,,,,,,,,,,,,none
3,Andhra Pradesh,Kambalakonda Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-04-28,"3. S.O. 1366 (E) [28.04.2017] Final Notification declaring Eco Sensitive Zone around Kambalakonda Wildlife Sanctuary(712.46 KB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/Kambalakonda%20Wildlife%20Sanctuary%2C%20Andhra%20Pradesh.pdf,[],04/05/2017,S.O. 1366 (E),Q12060948,Kambalakonda Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Kambhalakonda%20EDC%20Vizag.jpg,IUCN category IV: Habitat/Species Management Area,Andhra Pradesh,17.82527778,83.30861111,Visakhapatnam,,,http://forest.ap.nic.in/WL%20KAMBALAKONDA.htm,,Kambalakonda Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Kambalakonda_Wildlife_Sanctuary,exact
4,Andhra Pradesh,Rajiv Gandhi National Park,National Park,Draft,2016-02-04,"4. S.O.436(E) [04.02.2016] Draft Notification declaring Eco Sensitive Zone around Rajiv Gandhi National Park(1.68 MB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/S.O.436(E)%20%5B04.02.2016%5D%20Draft%20Notification%20declaring%20Eco%20Sensitive%20Zone%20around%20Rajiv%20Gandhi%20National%20Park%2C%20Andhra%20Pradesh.pdf,[],24/02/2016,S.O.436(E),Q96401141,Rajiv Gandhi National Park,,,IUCN category II: National Park,Andhra Pradesh,14.726944444,78.560833333,,,,,,,,https://en.wikipedia.org/wiki/Rajiv_Gandhi_National_Park_(Rameswaram),exact
,Andhra Pradesh,Rajiv Gandhi National Park,National Park,Final,2017-05-15,"S.O. 1563 (E) [15.05.2017] Final Notification Declaring Eco Sensitive Zone around Rajiv Gandhi National Park(2.39 MB), Andhra Pradesh S .O. No. 17(E) [31.12.2024] Amendment in the Final Notification of Eco-sensitive Zone around Rajiv Gandhi National Park(1.78 MB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/Rajiv%20Gandhi%20National%20Park%2C%20Andhra%20Pradesh_0.pdf,[],14/01/2025,S.O. 1563 (E),Q96401141,Rajiv Gandhi National Park,,,IUCN category II: National Park,Andhra Pradesh,14.726944444,78.560833333,,,,,,,,https://en.wikipedia.org/wiki/Rajiv_Gandhi_National_Park_(Rameswaram),exact
5,Andhra Pradesh,Nelapattu Bird Sanctuary,Bird Sanctuary,Draft,2016-01-15,"5. S.O.250(E) [15.01.2016] Draft Notification declaring Eco sensitive Zone around Nelapattu Bird Sanctuary(394.07 KB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/S.O.250(E)%20%5B15.01.2016%5D%20Draft%20Notification%20declaring%20Eco%20sensitive%20Zone%20around%20Nelapattu%20Bird%20Sanctuary%2C%20Andhra%20Pradesh.pdf,[],24/02/2016,S.O.250(E),Q18128630,Nelapattu Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Nellapattu%20Bird%20Sanctuary%20board.jpg,,,13.83325,79.94962,,,,,,,,https://en.wikipedia.org/wiki/Nelapattu_Bird_Sanctuary,exact
5,Andhra Pradesh,Nelapattu Bird Sanctuary,Bird Sanctuary,Final,2017-06-09,"5. S.O. 1868 (E) [09.06.2017] Final Notification Declaring Eco Sensitive Zone around Nelapattu Bird Sanctuary(2.98 MB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/Nelapattu%20Bird%20Sanctuary%2C%20Andhra%20Pradesh.pdf,[],23/06/2017,S.O. 1868 (E),Q18128630,Nelapattu Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Nellapattu%20Bird%20Sanctuary%20board.jpg,,,13.83325,79.94962,,,,,,,,https://en.wikipedia.org/wiki/Nelapattu_Bird_Sanctuary,exact
