wikidataId,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl
Q16894124,Lengteng Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Mizoram,Mizoram,23.8333,93.2167,Ngopa,,,,,,,https://en.wikipedia.org/wiki/Lengteng_Wildlife_Sanctuary
Q16894577,Mandagadde Bird Sanctuary,Bird Sanctuary,,,,Thirthahalli,Karnataka,13.7406,75.4603,,,0.0046,,,Mandagadde Bird Sanctuary,,https://en.wikipedia.org/wiki/Mandagadde_Bird_Sanctuary
Q16896392,Pangolakha Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Landscape%20of%20Pangolakha%20Wildlife%20Sanctuary%20East%20Sikkim%20India%2013.02.2016.jpg,IUCN category IV: Habitat/Species Management Area,East Sikkim district,Sikkim,27.34,88.76,Rangpo,,124,,,,,https://en.wikipedia.org/wiki/Pangolakha_Wildlife_Sanctuary
Q16900034,Shekha Bird Sanctuary,Bird Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Uttar Pradesh,Uttar Pradesh,27.8575,78.2185,Aligarh,,,,,,,https://en.wikipedia.org/wiki/Shekha_Bird_Sanctuary
Q16902313,Umred Karhandla Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Nagpur district,Maharashtra,20.83555556,79.51111111,Nagpur,,189.3,,,Umred Karhandla Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Umred_Pauni_Karhandla_Wildlife_Sanctuary
Q16902550,Varsey Rhododendron Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Barsey%20Rhododendron%20Sanctuary%20in%20late%20april.jpg,IUCN category IV: Habitat/Species Management Area,Sikkim,Sikkim,27.1942,88.1183,Soreng,,104,,,Varsey Rhododendron Sanctuary,,https://en.wikipedia.org/wiki/Varsey_Rhododendron_Sanctuary
Q16948098,Kanwar Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Himachal Pradesh,Himachal Pradesh,31.9523,77.3116,,,,,,,,https://en.wikipedia.org/wiki/Kanwar_Sanctuary
Q16954910,Nambor - Doigrung Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Assam,Assam,26.4185,93.8728,Golaghat,,,,,,,https://en.wikipedia.org/wiki/Nambor_-_Doigrung_Wildlife_Sanctuary
Q16979364,Kanyakumari Wildlife Sanctuary,Wildlife Sanctuary,,,,Tamil Nadu,Tamil Nadu,8.3543,77.34334,,,,,,,,https://en.wikipedia.org/wiki/Kanniyakumari_Wildlife_Sanctuary
Q17002774,Abubshahar Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Haryana,Haryana,29.8643,74.6172,,,,,,,,https://en.wikipedia.org/wiki/Abubshahar_Wildlife_Sanctuary
Q17002798,Bir Shikargah Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Haryana,Haryana,30.7689,76.96822,,,,,,,,https://en.wikipedia.org/wiki/Bir_Shikargarh_Wildlife_Sanctuary
Q17002860,Khol Hi-Raitan Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Haryana,Haryana,30.7077,76.9405,,,,,,,,https://en.wikipedia.org/wiki/Khol_Hi-Raitan_Wildlife_Sanctuary
Q17002923,Nahar Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Haryana,Haryana,28.4094,76.397,,,,,,,,https://en.wikipedia.org/wiki/Nahar_Wildlife_Sanctuary
Q17002953,Saraswati Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Haryana,Haryana,29.9928,76.3567,,,,,,,,https://en.wikipedia.org/wiki/Saraswati_Wildlife_Sanctuary
Q17003846,Chhilchhila Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Haryana,Haryana,29.9384,76.6811,,,,,,,,https://en.wikipedia.org/wiki/Chhilchhila_Wildlife_Sanctuary
Q17005614,Khaparwas Wildlife Sanctuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Haryana; Jhajjar district,Haryana,28.5651,76.5273,,,,,,,,https://en.wikipedia.org/wiki/Khaparwas_Wildlife_Sanctuary
Q17010836,Achabal Wildlife Sanctuary,Wildlife Sanctuary,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Achabal_Wildlife_Sanctuary
