wikidataId,wikidataUrl,wikidataLabel,aliases,protectedAreaType,partOf,image,iucnCategory,inception,worldHeritageSiteId,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,locatedInAdminTerritorialEntitySuggestedQid,locatedInAdminTerritorialEntitySuggestedLabel,locatedInAdminTerritorialEntityConfidence,locatedInAdminTerritorialEntityEvidence,locatedInAdminTerritorialEntitySuggestedSentence,quickstatement
Q3350362,https://www.wikidata.org/wiki/Q3350362,Jaldapara National Park,Jaldapara Wildlife Sanctuary,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Elephant%20safari.jpg,IUCN category II: National Park,1941-01-01T00:00:00Z,,,,26.628611,89.3775,Madarihat,,,http://jaldapara.in/,http://commons.wikimedia.org/wiki/Special:FilePath/Jaldapara%20banner%20Rhinoceros.jpg,Jaldapara National Park,,https://en.wikipedia.org/wiki/Jaldapara_National_Park,,,none,no wikilink in the lead (or their P131 administrative parent) resolved to a matching item,,
Q2979693,https://www.wikidata.org/wiki/Q2979693,Campbell Bay National Park,,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Nicobar%20Treeshrew%20%28Tupaia%20nicobarica%20nicobarica%29.jpg,IUCN category II: National Park,1992-01-01T00:00:00Z,,,,7.11277778,93.76194444,,,426.23,,,,,https://en.wikipedia.org/wiki/Campbell_Bay_National_Park,Q40888,Andaman and Nicobar Islands,low,"ambiguous: lead links to 3 different matching items (""Andaman and Nicobar Islands"" (Q219774), ""Andaman and Nicobar Islands"" (Q157286), ""Andaman and Nicobar Islands"" (Q2979723)); using the first, ""Great Nicobar"" (Q219774) via its P131 parent, ""Andaman and Nicobar Islands"" (Q40888)","Campbell Bay National Park is a national park in India, located on the island of Great Nicobar, the largest of the Nicobar Islands in the eastern Indian Ocean, some 190&nbsp;km to the north of Sumatra.",
Q3217688,https://www.wikidata.org/wiki/Q3217688,Laokhowa Wildlife Sanctuary,,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,1972-01-01T00:00:00Z,,,Assam,26.50666667,92.71055556,Nagaon,,,,,,,https://en.wikipedia.org/wiki/Laokhowa_Wildlife_Sanctuary,Q42686,Q42686,medium,"wikilink #5 in the lead, ""Nagaon district"" (Q42686), is an instance of ""district of India"" (Q1149652)",Laokhowa Wildlife Sanctuary is a wildlife sanctuary in the state of Assam in India covering on the south bank of the Brahmaputra River in Nagaon district.,Q3217688	P131	Q42686	S143	Q328
Q3330156,https://www.wikidata.org/wiki/Q3330156,Pampadum Shola National Park,,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Pampadumshola.jpg,IUCN category II: National Park,2003-01-01T00:00:00Z,,,,10.14388889,77.26694444,Marayur,,,,,Pampadum Shola National Park,,https://en.wikipedia.org/wiki/Pampadum_Shola_National_Park,Q301821,Idukki district,low,"ambiguous: lead links to 2 different matching items (""Idukki district"" (Q301821), ""Dindigul district"" (Q15154)); using the first, ""Idukki district"" (Q301821)",Pampadum Shola National Park is the smallest national park in Idukki district of Kerala in India.,
Q3523324,https://www.wikidata.org/wiki/Q3523324,Karimpuzha National Park,,National Park,,,,,,,,11.275,76.42361111,,,,,,,,https://en.wikipedia.org/wiki/Karimpuzha_National_Park,Q1186,Kerala,low,"ambiguous: lead links to 2 different matching items (""Kerala"" (Q1186), ""Tamil Nadu"" (Q1445)); using the first, ""Kerala"" (Q1186)","Karimpuzha National Park (Malayalam: കരിമ്പുഴ നാഷണൽ പാർക്ക്‌) is a 230&nbsp;km² proposed National Park located at in the Nilgiri Hills area of Kerala and Tamil Nadu, in South India, IUCN category: PRO",
Q105741355,https://www.wikidata.org/wiki/Q105741355,Kakaijana Wildlife Sanctuary,,Wildlife Sanctuary,,,,1966-01-01T00:00:00Z,,,,,,,,,,,,,,,,none,no enwiki article found for this item,,
Q106240301,https://www.wikidata.org/wiki/Q106240301,Nandankanan Wildlife Sanctuary,,Wildlife Sanctuary,,,,,,,,,,,,4.37,,,,,,,,none,no enwiki article found for this item,,
Q13116281,https://www.wikidata.org/wiki/Q13116281,Karian Shola National Park,,National Park,Western Ghats,,,,1342rev-015,,,10.38333333,77.08333333,,part of UNESCO World Heritage Site,503,,,,,https://en.wikipedia.org/wiki/Karian_Shola_National_Park,Q1445,Tamil Nadu,low,"ambiguous: lead links to 2 different matching items (""Tamil Nadu"" (Q1445), ""Kerala"" (Q1186)); using the first, ""Tamil Nadu"" (Q1445)",The National Park area spans 5.03 km² and is entirely located within the Anamalai Tiger Reserve in Tamil Nadu state.,
Q14205920,https://www.wikidata.org/wiki/Q14205920,Begur Wildlife Sanctuary,,Wildlife Sanctuary,,,,,,,,11.84763,76.0853,,,,,,,,,,,none,no enwiki article found for this item,,
Q17564493,https://www.wikidata.org/wiki/Q17564493,Bordoibam Bilmukh Bird Sanctuary,,Bird Sanctuary,,,,,,,,27.066667,94.5,,,,,,,,,,,none,no enwiki article found for this item,,
