wikidataId,wikidataUrl,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,stateSuggestedQid,stateSuggestedLabel,stateConfidence,stateEvidence,quickstatement
Q7206319,https://www.wikidata.org/wiki/Q7206319,Pocharam Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/A%20view%20from%20Pocharam%20Lake%20with%20Herons%2C%20Egrets%2C%20Openbills%20etc%20W%20IMG%209727.jpg,IUCN category IV: Habitat/Species Management Area,,,18.125,78.2,Medak,,,http://forest.ap.nic.in/WL%20POCHARAM.htm,,Pocharam Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Pocharam_Wildlife_Sanctuary,Q677037,Telangana,medium,"wikilink #5 in the lead, ""Telangana State"" (Q677037), is an instance of Q12443800",Q7206319	P131	Q677037
Q7262461,https://www.wikidata.org/wiki/Q7262461,Puttenahalli Lake,,,,IUCN category IV: Habitat/Species Management Area,,,13.11111111,77.57611111,Bengaluru,,,,,,,https://en.wikipedia.org/wiki/Puttenahalli_Lake_(Yelahanka),,,none,no wikilink in the lead resolved to a matching item,
Q5142237,https://www.wikidata.org/wiki/Q5142237,Cold Desert,,,,,,,,,,Tentative World Heritage Site,,https://whc.unesco.org/en/tentativelists/6055/,,,,https://en.wikipedia.org/wiki/Cold_Desert_(biosphere_reserve),Q1177,Himachal Pradesh,medium,"wikilink #4 in the lead, ""Himachal Pradesh"" (Q1177), is an instance of Q12443800",Q5142237	P131	Q1177
Q5311756,https://www.wikidata.org/wiki/Q5311756,Dudhwa Tiger Reserve,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Bengal%20Tiger%27s%20Pugmarks....jpg,IUCN category II: National Park,,,28.508333333,80.68,,,,,,,,https://en.wikipedia.org/wiki/Dudhwa_Tiger_Reserve,Q1498,Uttar Pradesh,medium,"wikilink #3 in the lead, ""Uttar Pradesh"" (Q1498), is an instance of Q12443800",Q5311756	P131	Q1498
Q5517624,https://www.wikidata.org/wiki/Q5517624,Gajner Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Gajner%20Wildlife%20Sanctuary-EW-20131009.jpg,,,,27.952722222,73.056972222,,,,http://www.india-rajasthan-tours.com/rajasthan-wildlife-tours/gajner-wildlife-sanctuary.html,,Gajner Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Gajner_Wildlife_Sanctuary,,,none,no wikilink in the lead resolved to a matching item,
Q5520164,https://www.wikidata.org/wiki/Q5520164,Gamgul,,,,IUCN category IV: Habitat/Species Management Area,,,32.847,76.068,,,,,,,,https://en.wikipedia.org/wiki/Gamgul_Siyabehi_Wildlife_Sanctuary,Q1177,Himachal Pradesh,low,"ambiguous: lead links to 2 different matching items (Q1177, Q66278313); using the first, ""Himachal Pradesh""",
Q5589844,https://www.wikidata.org/wiki/Q5589844,Govind Pashu Vihar National Park and Sanctuary,National Park,,,IUCN category II: National Park,,,31.1,78.29,,,,,,Govind Wildlife Sanctuary and National Park,,https://en.wikipedia.org/wiki/Govind_Pashu_Vihar_National_Park,Q1499,Uttarakhand,medium,"wikilink #2 in the lead, ""Uttarakhand"" (Q1499), is an instance of Q12443800",Q5589844	P131	Q1499
Q5597433,https://www.wikidata.org/wiki/Q5597433,Grass Hills National Park,National Park,Western Ghats,http://commons.wikimedia.org/wiki/Special:FilePath/Grass%20Hills%20National%20Park.jpg,,,,10.3410227,76.9856427,,part of UNESCO World Heritage Site,3123,,,,,https://en.wikipedia.org/wiki/Grass_Hills_National_Park,,,none,no wikilink in the lead resolved to a matching item,
Q5599625,https://www.wikidata.org/wiki/Q5599625,Great Nicobar Biosphere Reserve,,,,,,,7.05,93.775,,,,,,Great Nicobar Biosphere Reserve,,https://en.wikipedia.org/wiki/Great_Nicobar_Biosphere_Reserve,Q40888,Andaman and Nicobar Islands,medium,"wikilink #5 in the lead, ""Andaman and Nicobar Islands"" (Q40888), is an instance of Q467745",Q5599625	P131	Q40888
Q176792,https://www.wikidata.org/wiki/Q176792,Silent Valley National Park,National Park,Western Ghats,http://commons.wikimedia.org/wiki/Special:FilePath/Silent%20Valley%20National%20Park%20greenary.jpg,IUCN category II: National Park,,,11.133333333,76.466666666,Palakkad,part of UNESCO World Heritage Site,8952,http://silentvalley.gov.in/,http://commons.wikimedia.org/wiki/Special:FilePath/Silent%20Valley%20National%20Park%20greenary%20%28cropped%29.jpg,Silent Valley National Park,,https://en.wikipedia.org/wiki/Silent_Valley_National_Park,Q1186,Kerala,low,"ambiguous: lead links to 2 different matching items (Q1186, Q1445); using the first, ""Kerala""",
