wikidataId,wikidataUrl,wikidataLabel,aliases,protectedAreaType,partOf,image,iucnCategory,inception,worldHeritageSiteId,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,dataSource,wikipediaUrl,wikipediaSource,osmId,osmType,osmUrl,osmName,osmMatchSource
Q235878,https://www.wikidata.org/wiki/Q235878,Kevladev National Park,Bharatpur Bird Sanctuary; Bharatpur National Park; Bharatpur NP; Keoladeo Ghana National Park; Kevladev Bird Sanctuary,National Park,Bharatpur division,http://commons.wikimedia.org/wiki/Special:FilePath/Keoladeo%20Ghana%20National%20Park%2C%20Bharatpur%2C%20Rajasthan%2C%20India.jpg,IUCN category II: National Park,1971-01-01T00:00:00Z,340,Bharatpur district,Rajasthan,27.166667,77.516667,Bharatpur,World Heritage Site; Ramsar site,2873,,http://commons.wikimedia.org/wiki/Special:FilePath/Keoladeo%20National%20Park.jpg,Keoladeo National Park,15743640,https://en.wikipedia.org/wiki/Keoladeo_National_Park,wikidata,https://en.wikipedia.org/wiki/Keoladeo_National_Park,national-parks,15743640,relation,https://www.openstreetmap.org/relation/15743640,Keoladeo Ghana National Park,wikidata-p402
Q337028,https://www.wikidata.org/wiki/Q337028,Gir National Park,Gir Forest National Park; Gir Forest National Park and Wildlife Sanctuary; Sasan Gir National Park; Sasan Gir Wildlife Sanctuary; Sasan-Gir; Gir Sanctuary,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Gir%20lion-Gir%20forest%2Cjunagadh%2Cgujarat%2Cindia.jpeg,IUCN category II: National Park,1965-01-01T00:00:00Z,,Junagadh district,Gujarat,21.13556,70.79667,Junagadh,,259,https://girnationalpark.info/,http://commons.wikimedia.org/wiki/Special:FilePath/Gir%20Forest%20banner%20Asiatic%20Lion.jpg,Gir Forest National Park,,https://en.wikipedia.org/wiki/Gir_National_Park,wikidata,https://en.wikipedia.org/wiki/Gir_Forest_National_Park,national-parks,21061186,relation,https://www.openstreetmap.org/relation/21061186,Gir National Park,osm-wikidata-tag-ambiguous
Q1466242,https://www.wikidata.org/wiki/Q1466242,Ranthambore National Park,Ranthambhore National Park,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/Ranthambore%20Fort%20Jain%20Temple.jpg,IUCN category II: National Park,1980-01-01T00:00:00Z,,Sawai Madhopur district,Rajasthan,26.01733,76.50257,Kota,,392,,http://commons.wikimedia.org/wiki/Special:FilePath/Ranthambore%20banner.jpg,Ranthambore National Park,3494941,https://en.wikipedia.org/wiki/Ranthambore_National_Park,wikidata,https://en.wikipedia.org/wiki/Ranthambore_National_Park,tiger-reserves,3494941,relation,https://www.openstreetmap.org/relation/3494941,Ranthambhore National Park,wikidata-p402
Q1480481,https://www.wikidata.org/wiki/Q1480481,Kanha National Park,Kanha NP,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/Axis%20axis%20Kanha%201.jpg,IUCN category II: National Park,1955-01-01T00:00:00Z,,Madhya Pradesh,Madhya Pradesh,22.2275,80.645,Mandla,,940,,http://commons.wikimedia.org/wiki/Special:FilePath/Kanha%20National%20Park%20banner.jpg,Kanha National Park,15588876,https://en.wikipedia.org/wiki/Kanha_Tiger_Reserve,wikidata,https://en.wikipedia.org/wiki/Kanha_Tiger_Reserve,tiger-reserves,15588876,relation,https://www.openstreetmap.org/relation/15588876,Kanha Nationalpark,wikidata-p402
Q1520200,https://www.wikidata.org/wiki/Q1520200,Nagarhole National Park,Nagarahole National Park; Nagarahole Tiger Reserve; Rajiv Gandhi (Nagarahole) National Park; Nagarahole Tiger Reseve,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/Matriarch%20%2850856298527%29.jpg,IUCN category II: National Park,1988-01-01T00:00:00Z,,Kodagu district,Karnataka,12.06,76.151111111,Mysore,,643.4,,http://commons.wikimedia.org/wiki/Special:FilePath/Nagarhole%20National%20Park%20Wikivoyage%20banner.jpg,Nagarhole National Park,,https://en.wikipedia.org/wiki/Nagarhole_National_Park,wikidata,https://en.wikipedia.org/wiki/Nagarhole_National_Park,tiger-reserves,12154449,relation,https://www.openstreetmap.org/relation/12154449,Nagarahole National Park,osm-wikidata-tag
Q1544213,https://www.wikidata.org/wiki/Q1544213,Great Himalayan National Park,Great Himalayan National Park Conservation Area,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Himalayan%20National%20Park%2C%20Kullu%2C%20Himachal.jpg,IUCN category II: National Park,1984-01-01T00:00:00Z,1406,Himachal Pradesh,Himachal Pradesh,31.804288,77.951021,Kullu,World Heritage Site,90540,http://greathimalayannationalpark.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Himalayan%20National%20Park%20banner.jpg,Great Himalayan National Park,8815513,https://en.wikipedia.org/wiki/Great_Himalayan_National_Park,wikidata,https://en.wikipedia.org/wiki/Great_Himalayan_National_Park,national-parks,8815513,relation,https://www.openstreetmap.org/relation/8815513,Great Himalayan National Park,wikidata-p402
Q1648266,https://www.wikidata.org/wiki/Q1648266,Nanda Devi National Park,Nanda Devi Biosphere Reserve,National Park,Nanda Devi and Valley of Flowers National Parks,http://commons.wikimedia.org/wiki/Special:FilePath/Nanda%20Devi.jpg,IUCN category Ia: Strict Nature Reserve,1982-01-01T00:00:00Z,335-001,Chamoli district,Uttarakhand,30.418611111,79.849722222,,World Heritage Site,624.6,,http://commons.wikimedia.org/wiki/Special:FilePath/Nanda%20Devi%20National%20Park.jpg,Nanda Devi National Park,,https://en.wikipedia.org/wiki/Nanda_Devi_National_Park,wikidata,https://en.wikipedia.org/wiki/Nanda_Devi_National_Park,national-parks,126758723,way,https://www.openstreetmap.org/way/126758723,Nanda Devi National Park,osm-wikidata-tag
Q1661434,https://www.wikidata.org/wiki/Q1661434,Anaimalai Tiger Reserve,Aanaimalai Tiger Reserve; Anamalai Tiger Reserve; Indira Gandhi Wildlife Sanctuary and National Park; Indira Gandhi Wildlife Sanctuary,Tiger Reserve,,http://commons.wikimedia.org/wiki/Special:FilePath/Jambu%20Malai%202.JPG,IUCN category II: National Park,1976-01-01T00:00:00Z,,Udumalaipettai taluk; Coimbatore district,Tamil Nadu,10.41694444,77.05666667,Coimbatore,,1479.87,,,Anamalai Tiger Reserve,,https://en.wikipedia.org/wiki/Anamalai_Tiger_Reserve,wikidata,https://en.wikipedia.org/wiki/Anamalai_Tiger_Reserve,tiger-reserves,11278141,relation,https://www.openstreetmap.org/relation/11278141,Anamalai Tiger Reserve,osm-wikidata-tag
Q15725165,https://www.wikidata.org/wiki/Q15725165,Lakhari Valley Wildlife Sanctuary,Lakhary Sanctuary; Lakhary Wildlife Santuary,Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,,,Ganjam district,Odisha,19.3031,84.3239,,,,,,,,https://en.wikipedia.org/wiki/Lakhari_Valley_Wildlife_Sanctuary,wikidata,https://en.wikipedia.org/wiki/Lakhari_Valley_Wildlife_Sanctuary,wildlife-sanctuaries,678265489,way,https://www.openstreetmap.org/way/678265489,Lakhari Valley WLS,osm-wikidata-tag
Q16137059,https://www.wikidata.org/wiki/Q16137059,Munderikadavu Bird Sanctuary,Munderi Kadavu Bird Sanctuary,Bird Sanctuary,,,,,,Kerala,Kerala,11.918333333,75.414166666,,,,,,,,,wikidata,,,,,,,
