protectedAreaName,protectedAreaType,state,wikipediaUrl,inclusion,lastNotified,latitude,longitude,tigerPopulation2022,areaCoreKm2,areaBufferKm2,areaTotalKm2
Bandipur Tiger Reserve,Tiger Reserve,Karnataka,https://en.wikipedia.org/wiki/Bandipur_National_Park,1973–74,2007,11.66167,76.62722,150,872.24,584.06,"1,456.3"
Corbett Tiger Reserve,Tiger Reserve,Uttarakhand,https://en.wikipedia.org/wiki/Jim_Corbett_National_Park,1973–74,2010,29.54861,78.93528,260,821.99,466.32,"1,288.31"
Kanha Tiger Reserve,Tiger Reserve,Madhya Pradesh,https://en.wikipedia.org/wiki/Kanha_Tiger_Reserve,1973–74,2007,22.2275,80.645,105,917.43,"1,134.36","2,051.79"
Manas Tiger Reserve,Tiger Reserve,Assam,https://en.wikipedia.org/wiki/Manas_National_Park,1973–74,2008,26.71667,90.93333,58,526.22,"2,310.88","2,837.10"
Melghat Tiger Reserve,Tiger Reserve,Maharashtra,https://en.wikipedia.org/wiki/Melghat,1973–74,2007,21.44583,77.19722,57,"1,500.49","1,268.03","2,768.52"
Palamau Tiger Reserve,Tiger Reserve,Jharkhand,https://en.wikipedia.org/wiki/Palamau_Tiger_Reserve,1973–74,2012,23.68889,84.24889,1,414.08,715.85,"1,129.93"
Ranthambore Tiger Reserve,Tiger Reserve,Rajasthan,https://en.wikipedia.org/wiki/Ranthambore_National_Park,1973–74,2007,26.01722,76.5025,57,"1,113.36",297.92,"1,411.29"
Similipal Tiger Reserve,Tiger Reserve,Odisha,https://en.wikipedia.org/wiki/Simlipal_National_Park,1973–74,2007,21.83333,86.33333,16,"1,194.75","1,555.25","2,750"
Sunderbans Tiger Reserve,Tiger Reserve,West Bengal,https://en.wikipedia.org/wiki/Sundarbans_National_Park,1973–74,2007,21.83806,88.88528,100,"1,699.62",885.27,"2,584.89"
Periyar Tiger Reserve,Tiger Reserve,Kerala,https://en.wikipedia.org/wiki/Periyar_National_Park,1978–79,2007,9.5775,77.18,30,881.00,44.00,925.00
Sariska Tiger Reserve,Tiger Reserve,Rajasthan,https://en.wikipedia.org/wiki/Sariska_Tiger_Reserve,1978–79,2007,27.3175,76.43694,19,881.11,332.23,"1,213.34"
Buxa Tiger Reserve,Tiger Reserve,West Bengal,https://en.wikipedia.org/wiki/Buxa_Tiger_Reserve,1982–83,2009,26.65,89.58,1,390.58,367.32,757.90
Indravati Tiger Reserve,Tiger Reserve,Chhattisgarh,https://en.wikipedia.org/wiki/Indravati_National_Park,1982–83,2009,19.205,81.03139,1,"1,258.37","1,540.70","2,799.07"
Namdapha Tiger Reserve,Tiger Reserve,Arunachal Pradesh,https://en.wikipedia.org/wiki/Namdapha_National_Park,1982–83,1987,27.48333,96.38333,1,"1,807.82",245.00,"2,052.82"
Nagarjunsagar-Srisailam Tiger Reserve,Tiger Reserve,Andhra Pradesh,https://en.wikipedia.org/wiki/Nagarjunsagar-Srisailam_Tiger_Reserve,1982–83,2007,16.3,78.98333,58,"2,595.72",700.59,"3,296.31"
Dudhwa Tiger Reserve,Tiger Reserve,Uttar Pradesh,https://en.wikipedia.org/wiki/Dudhwa_National_Park,1987–88,2010,28.50833,80.68,135,"1,093.79","1,107.98","2,201.77"
Kalakad-Mundanthurai Tiger Reserve,Tiger Reserve,Tamil Nadu,https://en.wikipedia.org/wiki/Kalakkad_Mundanthurai_Tiger_Reserve,1988–89,2007,8.68333,77.31667,5,895.00,706.54,"1,601.54"
Valmiki Tiger Reserve,Tiger Reserve,Bihar,https://en.wikipedia.org/wiki/Valmiki_National_Park,1989–90,2012,27.33167,84.1625,54,598.45,300.93,899.38
Pench (M.P.) Tiger Reserve,Tiger Reserve,Madhya Pradesh,https://en.wikipedia.org/wiki/Pench_Tiger_Reserve,1992–93,2007,21.69306,79.24833,77,411.33,768.30,"1,179.63"
Tadoba-Andhari Tiger Reserve,Tiger Reserve,Maharashtra,https://en.wikipedia.org/wiki/Tadoba_Andhari_Tiger_Reserve,1993–94,2007,20.26667,79.4,97,625.82,"1,101.77","1,727.59"
Bandhavgarh Tiger Reserve,Tiger Reserve,Madhya Pradesh,https://en.wikipedia.org/wiki/Bandhavgarh_National_Park,1993–94,2007,23.69944,80.96194,135,716.9,820.03,"1,536.93"
Panna Tiger Reserve,Tiger Reserve,Madhya Pradesh,https://en.wikipedia.org/wiki/Panna_National_Park,1994–95,2007,24.730444,80.010778,55,576.13,"1,021.97","1,598.10"
Dampa Tiger Reserve,Tiger Reserve,Mizoram,https://en.wikipedia.org/wiki/Dampa_Tiger_Reserve,1994–95,2007,23.56667,92.36667,0,500.00,488.00,988.00
