protectedAreaName,protectedAreaType,state,wikipediaUrl,declared,area,district
Arial Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Arial_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.05,Andaman
Bamboo Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Bamboo_Island_Wildlife_Sanctuary,1987,0.05,Andaman
Barren Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Barren_Island_(Andaman_Islands),1987,8.1,Andaman
Battimalv Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Battimalv_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,2.23,Nicobar
Belle Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Belle_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.08,Andaman
Benett Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Benett_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,3.46,Andaman
Bingham Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Bingham_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.08,Andaman
Blister Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Blister_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.26,Andaman
Bluff Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Bluff_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,1.14,Andaman
Bondoville Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Bondoville_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,2.55,Andaman
Brush Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Brush_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.23,Andaman
Buchanan Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Buchanan_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,9.33,Andaman
Chanel Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Chanel_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.13,Andaman
Cinque Islands Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Cinque_Islands_Wildlife_Sanctuary?action=edit&redlink=1,1987,9.51,Andaman
Clyde Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Clyde_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.54,Andaman
Cone Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Cone_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.65,Andaman
Curlew (B.P.) Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Curlew_(B.P.)_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.16,Andaman
Curlew Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Curlew_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.03,Andaman
Cuthbert Bay Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Cuthbert_Bay_Wildlife_Sanctuary,1997,5.82,Andaman
Defence Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Defence_Island_Wildlife_Sanctuary,1987,10.49,Andaman
Dot Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Dot_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.13,Andaman
Dottrell Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Dottrell_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.13,Andaman
Duncan Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Duncan_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.73,Andaman
East Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/East_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,6.11,Andaman
East of Inglis Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/East_of_Inglis_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,3.55,Andaman
Egg Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Egg_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.05,Andaman
Entrance Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Entrance_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.96,Andaman
Flat Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Flat_Island_Wildlife_Sanctuary,1987,9.36,Andaman
Gander Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Gander_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.05,Andaman
Girjan Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Girjan_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.16,Andaman
Galathea Bay Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Galathea_Bay_Wildlife_Sanctuary?action=edit&redlink=1,,11.44,Nicobar
Goose Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Goose_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.01,Andaman
Hump Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Hump_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.47,Andaman
Interview Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Interview_Island,1987,133.87,Andaman
James Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/James_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,2.1,Andaman
Jungle Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Jungle_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.52,Andaman
Kwangtung Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Kwangtung_Island_Wildlife_Sanctuary,1987,0.57,Andaman
Kyd Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Kyd_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,8,Andaman
Landfall Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Landfall_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,29.48,Andaman
Latouche Island Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Latouche_Island_Wildlife_Sanctuary?action=edit&redlink=1,1987,0.96,Andaman
Lohabarrack Wildlife Sanctuary,Wildlife Sanctuary,Andaman and Nicobar Islands,https://en.wikipedia.org/wiki/Lohabarrack_Wildlife_Sanctuary?action=edit&redlink=1,1987,22.21,Andaman
